# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	cA_solver     	cA_initial    	cA_final      	cA_iters      	cA_converged  	cB_solver     	cB_initial    	cB_final      	cB_iters      	cB_converged  	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.038         	smoothSolver	2.253140e-03	5.567190e-06	2	3.804280e-03	5.902190e-07	3	1.175870e-03	3.401080e-06	2	false	smoothSolver	3.559310e-03	2.209870e-06	1	true	smoothSolver	3.266720e-03	6.520110e-07	1	true	DICPCG	4.657760e-04	2.044400e-05	112	true
0.0385        	smoothSolver	2.216600e-03	5.481380e-06	2	3.752420e-03	5.821950e-07	3	1.164870e-03	3.370140e-06	2	false	smoothSolver	3.517320e-03	2.160420e-06	1	true	smoothSolver	3.224360e-03	6.574680e-07	1	true	DICPCG	4.609620e-04	2.301640e-05	111	true
0.039         	smoothSolver	2.180950e-03	5.397810e-06	2	3.701600e-03	5.743280e-07	3	1.154180e-03	3.340060e-06	2	false	smoothSolver	3.476450e-03	2.112150e-06	1	true	smoothSolver	3.183090e-03	6.660820e-07	1	true	DICPCG	4.542130e-04	2.265260e-05	111	true
0.0395        	smoothSolver	2.146200e-03	5.316310e-06	2	3.651620e-03	5.665950e-07	3	1.143620e-03	3.310460e-06	2	false	smoothSolver	3.436690e-03	2.065060e-06	1	true	smoothSolver	3.142900e-03	6.778290e-07	1	true	DICPCG	4.431650e-04	2.163380e-05	111	true
0.04          	smoothSolver	2.112310e-03	5.236770e-06	2	3.602490e-03	5.590090e-07	3	1.133290e-03	3.281540e-06	2	false	smoothSolver	3.397940e-03	2.019100e-06	1	true	smoothSolver	3.103720e-03	6.926470e-07	1	true	DICPCG	4.401270e-04	2.168700e-05	111	true
0.0405        	smoothSolver	2.079280e-03	5.159210e-06	2	3.554120e-03	5.515550e-07	3	1.123200e-03	3.253270e-06	2	false	smoothSolver	3.360130e-03	1.974210e-06	1	true	smoothSolver	3.065510e-03	7.104720e-07	1	true	DICPCG	4.380010e-04	2.160770e-05	111	true
0.041         	smoothSolver	2.047120e-03	5.083470e-06	2	3.506870e-03	5.442680e-07	3	1.113300e-03	3.225310e-06	2	false	smoothSolver	3.323230e-03	1.930380e-06	1	true	smoothSolver	3.028260e-03	7.312370e-07	1	true	DICPCG	4.310840e-04	2.139160e-05	111	true
0.0415        	smoothSolver	2.015760e-03	5.009490e-06	2	3.460680e-03	9.952080e-06	2	1.103600e-03	3.197770e-06	2	false	smoothSolver	3.287220e-03	1.887580e-06	1	true	smoothSolver	2.991910e-03	7.548460e-07	1	true	DICPCG	4.200620e-04	2.095140e-05	111	true
0.042         	smoothSolver	1.985180e-03	4.937210e-06	2	3.415150e-03	9.820830e-06	2	1.094120e-03	3.170720e-06	2	false	smoothSolver	3.252070e-03	1.845800e-06	1	true	smoothSolver	2.956450e-03	7.812120e-07	1	true	DICPCG	4.154020e-04	1.786360e-05	112	true
0.0425        	smoothSolver	1.955380e-03	4.866590e-06	2	3.370580e-03	9.692410e-06	2	1.084930e-03	3.144210e-06	2	false	smoothSolver	3.217800e-03	1.805040e-06	1	true	smoothSolver	2.921830e-03	8.102130e-07	1	true	DICPCG	4.097440e-04	2.032710e-05	111	true
0.043         	smoothSolver	1.926330e-03	4.797520e-06	2	3.326880e-03	9.566270e-06	2	1.075820e-03	3.118190e-06	2	false	smoothSolver	3.184340e-03	1.765260e-06	1	true	smoothSolver	2.888020e-03	8.417290e-07	1	true	DICPCG	4.021550e-04	1.747900e-05	112	true
0.0435        	smoothSolver	1.897990e-03	4.729900e-06	2	3.284000e-03	9.442670e-06	2	1.066900e-03	3.092640e-06	2	false	smoothSolver	3.151650e-03	1.726420e-06	1	true	smoothSolver	2.854990e-03	8.756290e-07	1	true	DICPCG	3.969420e-04	1.964460e-05	111	true
